Come	Arhani 
Ch'Golpearlo en la boca	atamukuni
Ch'Traumatizarse la boca	atamuni
Ch'Machucarse el pie	atanduni
Ch'Machacar	atani
Ch'Machacar en el piso	atantsikani
Ch'Golpearse en la cabeza	atantsïni
Ch'Traumatizarlo en todo el cuerpo	atarhini
Ch'Golpearlo en la nariz	atarhukuni
Ch'Golpearlo en la boca	atumukuni
Ch'Aplastarlo en la pared	atunharhitani
Ch'Aplastarlo en la cabeza	atuntsïkuni
Ch'Golpearlo	aturhini
Ch'Desmacoyar	auajtakuni
Ch'Desgajarse una rama del árbol	auajtani
Ch'Cortaré las puntas	auajtsïkuaaka
Ch'Los había despuntado	auajtsïkuasïpka
Ch'Despuntado	auajtsïkukata
Ch'Despuntar	auajtsïkuni
Ch'Despuntará	auajtsïuati
Ch'Mazorca despencada	auakata
Ch'Desgajar una rama del árbol	auandikuni
Ch'Despencar	auani
Ch'Desgajar	auarhini
Ch'Sentarse con los pies abiertos	auatsïkani
Ch'Pueblo de Cherán	erani
Ch'Cola	éti
Ch'Red para pescar	ieremakua
Ch'En tu casa	íini
Ch'Ensuciar el agua	ikamani
Ch'Caminar pronto	ikapindurhani
Ch'Apresurarse	ikapini
Ch'Mover las manos	ikapkurhani
Ch'ikari Ceniza de madera	japu
Ch'Leño	ikari
Ch'Leños	ikaricha
Ch'Aflojarle	iketakuni
Ch'Aflojar	iketani
Ch'Objeto que sirve para aflojar	iketatarakua
Ch'Mentirle	ikuanderakuni
Ch'Mentiroso	ikuandera
Ch'Había mentido	ikuanderasïpka
Ch'Mentirosos	ikuanderecha
Ch'Mentiré	ikuanderooka
Ch'ipiri Luciérnaga	etetsï
Ch'Lumbre	ipiri
Ch'En el fuego	ipirirhu
Ch'Ceja	itumba
Ch'En la ceja	itumbarhu
Ch'Cejas	itumbecha
Ch'Apúrate	kápi
Ch'Hacer soltar la substancia	karhutani
Ch'Volver a aflojarlo	kétantani
Ch'Hoja de papel	kúrhi
Ch'Expresión para detener al burro	o
Ch'Aguja para hacer las redes	órhukua
Ch'Arco iris	úpakata
Ch'Tocar el líquido con una vara	urhumani
Ch'Objeto que sirve para mover el líquido	urhumatarakua
Ch'Picar por dentro alguna cosa hueca	urhunhani
Ch'Picarle	urhurhini
Ch'Tortilla	úskuta
Ch'Todo el día	úskuni
Ch'Había hecho tortillas	úskusïpka








Ajolote	Echekurhita
Tierra	Echeri
A las tierras	Echerichani
De las tierras	Echericheri
En el suelo	Echerindurhu
En la tierra	Echerio
De la tierra	Echeriri
Tortilla	Echuskuta
Informaré	Eiangpiaka
Les informaré	Eianguauaka
Avisar	Eianguni
Me informaron	Eiangunhasïka
Informándoles	Eiangupani
Le había informado	Eiangusïpti
Informe	Eiankpikua
Informador	Eiankpiti
Cabeza	éjpu
Cabezas	éjpuecha
De la cabeza	éjpueri
En la cabeza	éjpurhu
Rastrearé	éjtakuaka
Rastreo	éjtakukua
Rastrear	éjtakuni
Había rastreado	éjtakusïpka
Rastreador	éjtakuti
Cuando	Eki
Cuando	Ekijtsïni
Los que	Ekiksï
Que los que	Ekiksïnha
Que el que	Ekinha
Enojarse	Ekiuani
Doblará	Ekuakuati
Dobló	Ekuakujti
Doblar	Ekuakuni
Doblando	Ekuakupani
Doblador	Ekuakuti
Hacer dobleces	Ekuandurhini
El patio	Ekuarhu
Los patios	Ekuarhuecha
En el patio	Ekuarhuru
Veinte	Ekuatsï
Recogiendo	Euapunguani
El que	Emanga
Época de lluvias	Emenda
Parece que	Enajki
Guayaba	Enandi
El que	énga
Cuando pues	éngachka
Los que nos	éngajtsïni
Los que	éngaksï
Que el que	énganha
Cuando tú	éngari
Avisando	énguantani
Avisarles	énguaua
Les informaré	énguauaka
Infórmale	énguchirini
Avisarle	énguni
Informante	énguti
¡Oye!	épa
Tiña	Eperi
Voltear	Eraani
Hermanos	Erachicha
Es hermano	Erachijti
Es del hermano	Erachiri
Era del hermano	Erachirisïpti
Soy hermano	Erachisïka
Era hermano	Erachisïpti
Alusarle	Erajkutani
Lámpara	Erajkutarakua
Escoger	Erakuni
Escogiendo	Erakupani
Escogió	Erakusti
Seleccionador	Erakuti
Seleccionadores	Erakuticha
Amanecer	Erandini
El amanecer	Erandipakua
Cuidarlos	Eranguani
Cuidar	Eranguni
Pastor	Eranguti
Sabio	Eranhasïkati
Desvelarse	Erantskuni
Cuida	Eraata
Mirarlo	Eratini
Mirándola	Eratipani
Espejo	Eratitarakua
Pensamiento	Eratsikua
Ideas	Eratsikuecha
Pensar	Eratsini
Reflexionar	Eratsintani
Pienso	Eratsisïnga
Piensan	Eratsisïngajtsï
Pensador	Eratsiti
Pensadores	Eratsiticha
Observadores	Eraxaticha
Radicar	Erekani
Tierra	Echeri
Los esperaré	Eroauaka
Los estaba esperando	Eroaxapka
Les estaban esperando	Eroaxaptiksï
Espera	Eroka
Esperarlo	Erokani
Esperando	Erokapani
Espera	Eroki
Comal	Eroksï
Comales	Eroksïcha
En el comal	Eroksïrhu
Esperarse	Erokurhini
Esperarlo	Eroni
Esperarlo	Erontani
Esperar	Eropini
Veladores	Erotaticha
Como	Esïka
Como los	Esïkaksï
Exactamente como	Esïkamindu
Como	Esïki
Que	Esïkiksï
Que	Esïkiri
Abre los ojos	éska
Volver a ver	éskantani
Que me	Eskirini
Ojo	éskua
En el ojo	éskuarhu
Ojos	éskuecha
Del ojo	éskueri
Distribuiré	Etsakuaka
Distribuirlos	Etsakuani
Los tenderé	Etsakuauaka
Fue repartido	Etsakunhasti
Repartir	Etsakuni
Lo había tendido	Etsakusïpti
Encender	étskuni
Encendedor	étskutarakua
Sal	Etukua
Arrebatarle de la mano	Euajkuni
Robárselo	Euakurhini
Quitarle	Euani
Mira	Exe
Verlos	Exeani
Encontrarlos	Exeantani
Verán	Exeatiksï
Observadores	Exejpiticha
Observación	Exekua
Se observa	Exekurhisïndi
Mirar	Exeni
Observar	Exenksï
Lo encontrará	Exentaati
Lo encontraré	Exentaaka
Encontrar	Exentani
Viéndolo	Exeparini
Lo vería	Exepiringa
Enseñarles	Exeraani
Enseñarle	Exerani
Mírame	Exerini
Demostrar	Exerpini
Vimos	Exesïkachi
Veo	Exesïnga
Ve	Exesïndi
Ten	I
Almohada	Iájchakua
Apaciguar	Iakani
Construcción	Iákata
Todo	Iámendu
Todo	Iámenduksï
Todo	Iámindu
Todos	Iáminduecha
Todos	Iáminduechaksï
A todos	Iáminduechani
Orines	Iarhatsikata
Orinar	Iarhatsini
Hoy	Iásï
Diarrea	Iáskuarikua
Lejos	Iauani
Metate	Iauarhi
Estos	íchaksï
Canoa	Icharhuta
Hizo tortillas	Ichusïkusti
Nevada	Iéjtakua
Nevar	Iéjtani
Mezclar	Iétani
A estos	íichani
Plantar	Ikarani
Plante	Ikare
Enojarse	Ikiani
Enojarse	Ikianksï
Se enojaba	Ikiasïrampti
Coraje	Ikiata
Esta enojado	Ikiaxati
Estos	íksï
El	Ima
También él	Imajtu
Aquellos	Imaksï
Que aquél	Imanha
A aquél	Imani
Aquellos	imechaksï
De él	Imeri
Pasaré	Inchaaka
Invasores	Inchaakutsïpiticha
Pasará	Inchaati
Pulsera	Inchajkurhakua
Adentro del agua	Inchamikua
Dentro del oído	Inchandikureni
Entrar	Inchani
Meterlo	Incharani
Adentro	Inchareni
Enterrarlo	Inchaskuni
Se metió	Inchasti
Tarde	Inchatiru
Ese	Inde
A ése	Indeni
A éste	íni
Darle	ínstkuni
Regalo	Intsïkuarhikua
Me van a dar	Intsïnaaka
Te lo voy a dar	íntskuakakini
Darles	íntskuani
Darle	íntskuni
Le hubiera dado	íntskupiringa
Se venden	íntspekuarhinasïndi
Dar	íntspeni
Venta	íntspikuarhikua
Les había hablado	Ioarhiapka
Los está llamando	Ioarhiaxati
Hablarle	Ioarhini
Le hablaba	Ioarhisïrampti
Tardaré	Iondaaka
Tardar	Ióndani
Antes	Ióntki
En el río	Iorhekuarhu
Inundación	Iorhejpintani
Inundación	Iorhepentoni
Cuchara	Iorhesï
Hablarle	Iorhini
Pestaña	Iorhukua
Alargarse	Ióskani
Largo	Iósti
En lo alto	Iótakuarhu
Alto	Iótati
Envidiar	Ipurpeni
Rey	Irecha
El reino	Irechikua
Residencia	Irekakua
vivir	Irekani
Que había vivido	Irekapka
Vivió	Irekasïpti
Que había vivido	Irekasïptinha
Vive	Irekasti
Viven	Irekastiksï
Casa	Irekua
Vivienda	Irekuarhikua
Lote	Irerakua
Pueblo	Ireta
A los pueblos	Iretechani
En los pueblos	Iretecharhu
De los pueblos	Iretecheri
Del pueblo	Ireteri
Empacarlos	Irhiani
Servilleta	Irhinharhi
Servilletas	Irhinharhicha
A las servilletas	Irhinharhichani
Envolver	Irhini
Así	ísï
Así pues	ísïchkaksï
Así nomas	ísïku
Caña	Isimba
Que así	ísïnha
Armadillo	Isinkua
Así me	ísïrini
Así es	ísïsti
Así también	ístuksï
En el agua	Itsarhu
Bautizarse	Itsï atajtsïni
Bautismo	Itsï atajtsïkua
Agua	Itsï
En el agua	Itsïarhu
En el agua	Itsïrhu
Tomar agua	Itsïmani
Leche	Itsukua
Absorber	Itsuni
Cigarro	Itsutakua
Fumar	Itsutani
Sal	Itukua
Pues	Iuani
